Result,Number,,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point (C),Temperature ('C),Control ('C),AC Conductivity Real (S/m),AC Conductivity Imaginary (S/m),Relative Permittivity Real ,Relative Permittivity Imaginary ,impedance real,impedance imaginary
1,1,1,00:11:36,1000000,1,0,30,28.25,-244.9,9.03E-05,1.75E-04,3.151486,1.623481,2055.969,-3991.028
2,1,2,00:11:42,891250.9,1,0,30,28.25,-244.9,8.39E-05,1.62E-04,3.259391,1.692038,2240.409,-4315.723
3,1,3,00:11:47,794328.2,1,0,30,28.25,-244.9,7.79E-05,1.49E-04,3.371798,1.763098,2440.069,-4666.455
4,1,4,00:11:52,707945.8,1,0,30,28.25,-244.9,7.23E-05,1.37E-04,3.48846,1.836768,2656.67,-5045.65
5,1,5,00:11:59,630957.3,1,0,30,28.25,-244.9,6.72E-05,1.27E-04,3.609311,1.913793,2892.45,-5455.005
6,1,6,00:12:04,562341.3,1,0,30,28.25,-244.9,6.24E-05,1.17E-04,3.734596,1.994682,3149.28,-5896.323
7,1,7,00:12:09,501187.3,1,0,30,28.25,-244.9,5.80E-05,1.08E-04,3.864409,2.078987,3428.542,-6372.954
8,1,8,00:12:14,446683.6,1,0,30,28.25,-244.9,5.39E-05,9.94E-05,3.998837,2.167752,3733.125,-6886.469
9,1,9,00:12:20,398107.2,1,0,30,28.25,-244.9,5.24E-05,9.02E-05,4.073641,2.364849,4261.121,-7340.12
10,1,10,00:12:25,354813.4,1,0,30,28.25,-244.9,4.84E-05,8.33E-05,4.220278,2.452463,4617.256,-7945.523
11,1,11,00:12:30,316227.8,1,0,30,28.25,-244.9,4.48E-05,7.69E-05,4.371728,2.546216,5006.756,-8596.357
12,1,12,00:12:35,281838.3,1,0,30,28.25,-244.9,4.15E-05,7.10E-05,4.52833,2.646174,5432.247,-9296.063
13,1,13,00:12:40,251188.6,1,0,30,28.25,-244.9,3.85E-05,6.55E-05,4.69028,2.752457,5896.845,-10048.43
14,1,14,00:12:45,223872.1,1,0,30,28.25,-244.9,3.57E-05,6.05E-05,4.858053,2.865555,6403.787,-10856.51
15,1,15,00:12:51,199526.2,1,0,30,28.25,-244.9,3.32E-05,5.58E-05,5.031252,2.986791,6959.247,-11722.86
16,1,16,00:12:56,177828,1,0,30,28.25,-244.9,3.09E-05,5.15E-05,5.208085,3.121049,7577.14,-12643.95
